Refrigerant,Molecular weight,Predicted crit temp /K,Acentric factor,No. of C,No. of F,No. of C=C,Temp /K,Liquid spec vol /[m^3/mol],Vapour spec vol /[m^3/mol],Vapour pressure /Pa,Dipole moment,Polarisability,Predicted crit pressure /Pa
R 1114,100.02,294.5561082,0.223,2,4,1,207.009685,6.70E-05,0.0064261,252015.5839,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,208.2253965,6.73E-05,0.006092991,266615.0124,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,209.4339114,6.75E-05,0.005782493,281759.6221,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,210.6352723,6.78E-05,0.005492731,297456.1692,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,211.8295216,6.80E-05,0.005222014,313711.1225,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,213.0167014,6.83E-05,0.004968806,330530.6657,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,214.1968535,6.86E-05,0.00473172,347920.6993,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,215.3700194,6.88E-05,0.004509494,365886.8443,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,216.5362407,6.91E-05,0.004300982,384434.4456,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,217.6955583,6.94E-05,0.004105142,403568.5758,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,218.8480132,6.96E-05,0.003921022,423294.0396,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,219.993646,6.99E-05,0.003747756,443615.3788,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,221.132497,7.02E-05,0.003584552,464536.8773,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,222.2646064,7.05E-05,0.003430685,486062.566,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,223.3900141,7.08E-05,0.003285493,508196.2293,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,224.5087598,7.10E-05,0.003148365,530941.4103,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,225.6208829,7.13E-05,0.003018746,554301.4172,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,226.7264227,7.16E-05,0.002896121,578279.3299,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,227.825418,7.19E-05,0.002780019,602878.0059,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,228.9179077,7.22E-05,0.002670006,628100.0876,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,230.0039302,7.25E-05,0.002565681,653948.0089,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,231.0835239,7.28E-05,0.002466675,680424.002,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,232.1567267,7.31E-05,0.002372646,707530.1047,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,233.2235765,7.34E-05,0.00228328,735268.1674,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,234.284111,7.38E-05,0.002198284,763639.8606,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,235.3383675,7.41E-05,0.002117389,792646.6818,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,236.3863832,7.44E-05,0.002040343,822289.9632,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,237.4281949,7.47E-05,0.001966913,852570.8791,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,238.4638395,7.50E-05,0.001896885,883490.4532,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,239.4933535,7.54E-05,0.001830057,915049.5664,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,240.5167731,7.57E-05,0.001766242,947248.9641,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,241.5341344,7.61E-05,0.001705266,980089.2636,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,242.5454733,7.64E-05,0.001646968,1013570.962,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,243.5508254,7.68E-05,0.001591196,1047694.445,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,244.5502262,7.71E-05,0.00153781,1082459.991,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,245.5437109,7.75E-05,0.001486676,1117867.782,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,246.5313145,7.78E-05,0.001437673,1153917.912,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,247.5130718,7.82E-05,0.001390685,1190610.39,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,248.4890175,7.86E-05,0.001345603,1227945.154,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,249.4591859,7.90E-05,0.001302328,1265922.073,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,250.4236113,7.94E-05,0.001260764,1304540.958,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,251.3823276,7.97E-05,0.001220822,1343801.57,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,252.3353687,8.01E-05,0.001182418,1383703.626,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,253.2827681,8.05E-05,0.001145475,1424246.81,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,254.2245592,8.10E-05,0.001109919,1465430.778,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,255.1607752,8.14E-05,0.001075679,1507255.167,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,256.0914492,8.18E-05,0.001042691,1549719.603,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,257.0166139,8.22E-05,0.001010893,1592823.714,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,257.9363019,8.27E-05,0.000980227,1636567.13,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,258.8505458,8.31E-05,0.000950638,1680949.499,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,259.7593776,8.36E-05,0.000922075,1725970.493,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,260.6628294,8.40E-05,0.000894488,1771629.819,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,261.5609332,8.45E-05,0.000867831,1817927.224,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,262.4537205,8.50E-05,0.000842061,1864862.511,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,263.3412228,8.55E-05,0.000817136,1912435.545,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,264.2234714,8.60E-05,0.000793016,1960646.265,0,20.909,4335776.354
R 1114,100.02,294.5561082,0.223,2,4,1,265.1004974,8.65E-05,0.000769664,2009494.695,0,20.909,4335776.354
R 1123,82.02,346.7339612,0.238,2,3,1,173.3669806,5.62E-05,0.284963226,5046.753444,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,175.2142694,5.64E-05,0.245640696,5915.129207,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,177.050623,5.66E-05,0.212715269,6899.863564,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,178.876106,5.67E-05,0.185011063,8011.766333,1.635,20.369,5253881.331
