Refrigerant,Tc predicted,Pc predicted,vc predicted
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
R 1114,294.5561081703374,4335776.354374641,0.0001595506400444829
